id,value
"""fla.re""",
"""fla.re"";analytics",
"""fla.re"";analytics;cluster",
"""fla.re"";analytics;cluster;AgglomerativeCluster",3938
"""fla.re"";analytics;cluster;CommunityStructure",3812
"""fla.re"";analytics;cluster;HierarchicalCluster",6714
"""fla.re"";analytics;cluster;MergeEdge",743
"""fla.re"";analytics;graph",
"""fla.re"";analytics;graph;BetweennessCentrality",3534
"""fla.re"";analytics;graph;LinkDistance",5731
"""fla.re"";analytics;graph;MaxFlowMinCut",7840
"""fla.re"";analytics;graph;ShortestPaths",5914
"""fla.re"";analytics;graph;SpanningTree",3416
"""fla.re"";analytics;optimization",
"""fla.re"";analytics;optimization;AspectRatioBanker",7074
"""fla.re"";animate",
"""fla.re"";animate;Easing",17010
"""fla.re"";animate;FunctionSequence",5842
"""fla.re"";animate;interpolate",
"""fla.re"";animate;interpolate;ArrayInterpolator",1983
"""fla.re"";animate;interpolate;ColorInterpolator",2047
"""fla.re"";animate;interpolate;DateInterpolator",1375
"""fla.re"";animate;interpolate;Interpolator",8746
"""fla.re"";animate;interpolate;MatrixInterpolator",2202
"""fla.re"";animate;interpolate;NumberInterpolator",1382
"""fla.re"";animate;interpolate;ObjectInterpolator",1629
"""fla.re"";animate;interpolate;PointInterpolator",1675
"""fla.re"";animate;interpolate;RectangleInterpolator",2042
"""fla.re"";animate;ISchedulable",1041
"""fla.re"";animate;Parallel",5176
"""fla.re"";animate;Pause",449
"""fla.re"";animate;Scheduler",5593
"""fla.re"";animate;Sequence",5534
"""fla.re"";animate;Transition",9201
"""fla.re"";animate;Transitioner",19975
"""fla.re"";animate;TransitionEvent",1116
"""fla.re"";animate;Tween",6006
"""fla.re"";data",
"""fla.re"";data;converters",
"""fla.re"";data;converters;Converters",721
"""fla.re"";data;converters;DelimitedTextConverter",4294
"""fla.re"";data;converters;GraphMLConverter",9800
"""fla.re"";data;converters;IDataConverter",1314
"""fla.re"";data;converters;JSONConverter",2220
"""fla.re"";data;DataField",1759
"""fla.re"";data;DataSchema",2165
"""fla.re"";data;DataSet",586
"""fla.re"";data;DataSource",3331
"""fla.re"";data;DataTable",772
"""fla.re"";data;DataUtil",3322
"""fla.re"";display",
"""fla.re"";display;DirtySprite",8833
"""fla.re"";display;LineSprite",1732
"""fla.re"";display;RectSprite",3623
"""fla.re"";display;TextSprite",10066
"""fla.re"";flex",
"""fla.re"";flex;""fla.re""Vis",4116
"""fla.re"";physics",
"""fla.re"";physics;DragForce",1082
"""fla.re"";physics;GravityForce",1336
"""fla.re"";physics;IForce",319
"""fla.re"";physics;NBodyForce",10498
"""fla.re"";physics;Particle",2822
"""fla.re"";physics;Simulation",9983
"""fla.re"";physics;Spring",2213
"""fla.re"";physics;SpringForce",1681
"""fla.re"";query",
"""fla.re"";query;AggregateExpression",1616
"""fla.re"";query;And",1027
"""fla.re"";query;Arithmetic",3891
"""fla.re"";query;Average",891
"""fla.re"";query;BinaryExpression",2893
"""fla.re"";query;Comparison",5103
"""fla.re"";query;CompositeExpression",3677
"""fla.re"";query;Count",781
"""fla.re"";query;DateUtil",4141
"""fla.re"";query;Distinct",933
"""fla.re"";query;Expression",5130
"""fla.re"";query;ExpressionIterator",3617
"""fla.re"";query;Fn",3240
"""fla.re"";query;If",2732
"""fla.re"";query;IsA",2039
"""fla.re"";query;Literal",1214
"""fla.re"";query;Match",3748
"""fla.re"";query;Maximum",843
"""fla.re"";query;methods",
"""fla.re"";query;methods;add",593
"""fla.re"";query;methods;and",330
"""fla.re"";query;methods;average",287
"""fla.re"";query;methods;count",277
"""fla.re"";query;methods;distinct",292
"""fla.re"";query;methods;div",595
"""fla.re"";query;methods;eq",594
"""fla.re"";query;methods;fn",460
"""fla.re"";query;methods;gt",603
"""fla.re"";query;methods;gte",625
"""fla.re"";query;methods;iff",748
"""fla.re"";query;methods;isa",461
"""fla.re"";query;methods;lt",597
"""fla.re"";query;methods;lte",619
"""fla.re"";query;methods;max",283
"""fla.re"";query;methods;min",283
"""fla.re"";query;methods;mod",591
"""fla.re"";query;methods;mul",603
"""fla.re"";query;methods;neq",599
"""fla.re"";query;methods;not",386
"""fla.re"";query;methods;or",323
"""fla.re"";query;methods;orderby",307
"""fla.re"";query;methods;range",772
"""fla.re"";query;methods;select",296
"""fla.re"";query;methods;stddev",363
"""fla.re"";query;methods;sub",600
"""fla.re"";query;methods;sum",280
"""fla.re"";query;methods;update",307
"""fla.re"";query;methods;variance",335
"""fla.re"";query;methods;where",299
"""fla.re"";query;methods;xor",354
"""fla.re"";query;methods;_",264
"""fla.re"";query;Minimum",843
"""fla.re"";query;Not",1554
"""fla.re"";query;Or",970
"""fla.re"";query;Query",13896
"""fla.re"";query;Range",1594
"""fla.re"";query;StringUtil",4130
"""fla.re"";query;Sum",791
"""fla.re"";query;Variable",1124
"""fla.re"";query;Variance",1876
"""fla.re"";query;Xor",1101
"""fla.re"";scale",
"""fla.re"";scale;IScaleMap",2105
"""fla.re"";scale;LinearScale",1316
"""fla.re"";scale;LogScale",3151
"""fla.re"";scale;OrdinalScale",3770
"""fla.re"";scale;QuantileScale",2435
"""fla.re"";scale;QuantitativeScale",4839
"""fla.re"";scale;RootScale",1756
"""fla.re"";scale;Scale",4268
"""fla.re"";scale;ScaleType",1821
"""fla.re"";scale;TimeScale",5833
"""fla.re"";util",
"""fla.re"";util;Arrays",8258
"""fla.re"";util;Colors",10001
"""fla.re"";util;Dates",8217
"""fla.re"";util;Displays",12555
"""fla.re"";util;Filter",2324
"""fla.re"";util;Geometry",10993
"""fla.re"";util;heap",
"""fla.re"";util;heap;FibonacciHeap",9354
"""fla.re"";util;heap;HeapNode",1233
"""fla.re"";util;IEvaluable",335
"""fla.re"";util;IPredicate",383
"""fla.re"";util;IValueProxy",874
"""fla.re"";util;math",
"""fla.re"";util;math;DenseMatrix",3165
"""fla.re"";util;math;IMatrix",2815
"""fla.re"";util;math;SparseMatrix",3366
"""fla.re"";util;Maths",17705
"""fla.re"";util;Orientation",1486
"""fla.re"";util;palette",
"""fla.re"";util;palette;ColorPalette",6367
"""fla.re"";util;palette;Palette",1229
"""fla.re"";util;palette;ShapePalette",2059
"""fla.re"";util;palette;SizePalette",2291
"""fla.re"";util;Property",5559
"""fla.re"";util;Shapes",19118
"""fla.re"";util;Sort",6887
"""fla.re"";util;Stats",6557
"""fla.re"";util;Strings",22026
"""fla.re"";vis",
"""fla.re"";vis;axis",
"""fla.re"";vis;axis;Axes",1302
"""fla.re"";vis;axis;Axis",24593
"""fla.re"";vis;axis;AxisGridLine",652
"""fla.re"";vis;axis;AxisLabel",636
"""fla.re"";vis;axis;CartesianAxes",6703
"""fla.re"";vis;controls",
"""fla.re"";vis;controls;AnchorControl",2138
"""fla.re"";vis;controls;ClickControl",3824
"""fla.re"";vis;controls;Control",1353
"""fla.re"";vis;controls;ControlList",4665
"""fla.re"";vis;controls;DragControl",2649
"""fla.re"";vis;controls;ExpandControl",2832
"""fla.re"";vis;controls;HoverControl",4896
"""fla.re"";vis;controls;IControl",763
"""fla.re"";vis;controls;PanZoomControl",5222
"""fla.re"";vis;controls;SelectionControl",7862
"""fla.re"";vis;controls;TooltipControl",8435
"""fla.re"";vis;data",
"""fla.re"";vis;data;Data",20544
"""fla.re"";vis;data;DataList",19788
"""fla.re"";vis;data;DataSprite",10349
"""fla.re"";vis;data;EdgeSprite",3301
"""fla.re"";vis;data;NodeSprite",19382
"""fla.re"";vis;data;render",
"""fla.re"";vis;data;render;ArrowType",698
"""fla.re"";vis;data;render;EdgeRenderer",5569
"""fla.re"";vis;data;render;IRenderer",353
"""fla.re"";vis;data;render;ShapeRenderer",2247
"""fla.re"";vis;data;ScaleBinding",11275
"""fla.re"";vis;data;Tree",7147
"""fla.re"";vis;data;TreeBuilder",9930
"""fla.re"";vis;events",
"""fla.re"";vis;events;DataEvent",2313
"""fla.re"";vis;events;SelectionEvent",1880
"""fla.re"";vis;events;TooltipEvent",1701
"""fla.re"";vis;events;VisualizationEvent",1117
"""fla.re"";vis;legend",
"""fla.re"";vis;legend;Legend",20859
"""fla.re"";vis;legend;LegendItem",4614
"""fla.re"";vis;legend;LegendRange",10530
"""fla.re"";vis;operator",
"""fla.re"";vis;operator;distortion",
"""fla.re"";vis;operator;distortion;BifocalDistortion",4461
"""fla.re"";vis;operator;distortion;Distortion",6314
"""fla.re"";vis;operator;distortion;FisheyeDistortion",3444
"""fla.re"";vis;operator;encoder",
"""fla.re"";vis;operator;encoder;ColorEncoder",3179
"""fla.re"";vis;operator;encoder;Encoder",4060
"""fla.re"";vis;operator;encoder;PropertyEncoder",4138
"""fla.re"";vis;operator;encoder;ShapeEncoder",1690
"""fla.re"";vis;operator;encoder;SizeEncoder",1830
"""fla.re"";vis;operator;filter",
"""fla.re"";vis;operator;filter;FisheyeTreeFilter",5219
"""fla.re"";vis;operator;filter;GraphDistanceFilter",3165
"""fla.re"";vis;operator;filter;VisibilityFilter",3509
"""fla.re"";vis;operator;IOperator",1286
"""fla.re"";vis;operator;label",
"""fla.re"";vis;operator;label;Labeler",9956
"""fla.re"";vis;operator;label;RadialLabeler",3899
"""fla.re"";vis;operator;label;StackedAreaLabeler",3202
"""fla.re"";vis;operator;layout",
"""fla.re"";vis;operator;layout;AxisLayout",6725
"""fla.re"";vis;operator;layout;BundledEdgeRouter",3727
"""fla.re"";vis;operator;layout;CircleLayout",9317
"""fla.re"";vis;operator;layout;CirclePackingLayout",12003
"""fla.re"";vis;operator;layout;DendrogramLayout",4853
"""fla.re"";vis;operator;layout;ForceDirectedLayout",8411
"""fla.re"";vis;operator;layout;IcicleTreeLayout",4864
"""fla.re"";vis;operator;layout;IndentedTreeLayout",3174
"""fla.re"";vis;operator;layout;Layout",7881
"""fla.re"";vis;operator;layout;NodeLinkTreeLayout",12870
"""fla.re"";vis;operator;layout;PieLayout",2728
"""fla.re"";vis;operator;layout;RadialTreeLayout",12348
"""fla.re"";vis;operator;layout;RandomLayout",870
"""fla.re"";vis;operator;layout;StackedAreaLayout",9121
"""fla.re"";vis;operator;layout;TreeMapLayout",9191
"""fla.re"";vis;operator;Operator",2490
"""fla.re"";vis;operator;OperatorList",5248
"""fla.re"";vis;operator;OperatorSequence",4190
"""fla.re"";vis;operator;OperatorSwitch",2581
"""fla.re"";vis;operator;SortOperator",2023
"""fla.re"";vis;Visualization",16540
